tic_id,label,file_path,period_days,duration_days,duration_hours,transit_time,depth,depth_percent,snr,bls_power,n_points_used,n_in_transit_points,n_detected_transits,odd_even_depth_difference,secondary_eclipse_depth,v_shape_score,baseline_days,period_search_min_days,period_search_max_days
31858843,planet,backend/data/lightcurves/planets/TIC_31858843.csv,2.977794486398121,0.105,2.52,1658.5571906620805,0.008295060866870374,0.8295060866870374,105.89891849670693,0.009362248595976964,16718,297,8,0.00028413775458313584,0.00012116698952502336,0.001128436623476281,25.087659864733723,0.5,12.543829932366862
320004517,planet,backend/data/lightcurves/planets/TIC_320004517.csv,8.73668670588274,0.153,3.6719999999999997,1661.0667721014527,0.000524298275729973,0.0524298275729973,23.693368861798547,3.801997723514752e-05,19435,327,3,0.0006268133179884172,9.696310827922439e-06,0.00010327094346740395,28.436286794048783,0.5,14.218143397024392
323132914,planet,backend/data/lightcurves/planets/TIC_323132914.csv,5.642029595816455,0.03,0.72,1574.8114501189502,0.00045689189949260633,0.045689189949260633,5.432533400888331,8.892381491104407e-06,15198,86,4,0.0002136503906619014,3.9120782733159665e-05,1.8608758350913135e-06,24.503235743307414,0.5,12.251617871653707
327301957,planet,backend/data/lightcurves/planets/TIC_327301957.csv,13.920302269231735,0.129,3.096,1662.667497798105,0.0008089123031069789,0.08089123031069789,6.960810549653514,6.789792201783162e-05,17955,186,2,0.0002732727992110773,5.2808610439103454e-05,3.001047200468232e-05,28.436328883077294,0.5,14.218164441538647
336732616,planet,backend/data/lightcurves/planets/TIC_336732616.csv,3.5477665624416534,0.129,3.096,1327.2529904759197,0.006790885981354355,0.6790885981354355,74.86454547603383,0.015410632452734439,18182,691,8,0.0003566595398981631,0.0004039506642459223,0.0012103801063421127,27.742664142731428,0.5,13.871332071365714
341420329,planet,backend/data/lightcurves/planets/TIC_341420329.csv,5.233305739857351,0.129,3.096,2232.449204224643,0.009916910523900202,0.9916910523900202,57.35664067941567,0.004649325024481654,16569,97,5,0.000662159450478983,0.00013700195605326204,,25.044819628053574,0.5,12.522409814026787
351601843,planet,backend/data/lightcurves/planets/TIC_351601843.csv,0.6048902458121359,0.03,0.72,1654.2483363392162,0.0008161550405563212,0.08161550405563212,10.38835035397499,0.00025623270113364844,13881,689,47,0.0001585131096989434,0.00019259643695801465,8.860576608926696e-05,28.43647240896621,0.5,14.218236204483105
355703913,planet,backend/data/lightcurves/planets/TIC_355703913.csv,2.105515491122146,0.03,0.72,1326.1088839951924,0.010003233000783318,1.0003233000783318,21.8164125310975,0.011187878386113025,18274,232,13,0.0002640051844708946,0.0010683450044732812,0.0030249491478876456,27.88072663564003,0.5,13.940363317820015
360742636,planet,backend/data/lightcurves/planets/TIC_360742636.csv,2.549272914474925,0.078,1.8719999999999999,1654.1652037246806,0.011700208216039787,1.1700208216039787,124.9932128523393,0.04425809889855688,19102,654,12,0.0004528215652076506,0.00024483338117908815,0.001434482185719843,28.43631365246074,0.5,14.21815682623037
361413119,planet,backend/data/lightcurves/planets/TIC_361413119.csv,6.074819684005654,0.054,1.296,2286.872035777358,0.004315020464799479,0.43150204647994794,39.02180308341764,0.0010348769561588321,15920,116,4,0.0004982022428157151,0.0003764564454763475,0.002072424231320258,24.17662464749992,0.5,12.08831232374996
366989877,planet,backend/data/lightcurves/planets/TIC_366989877.csv,0.5391546524804378,0.3,7.199999999999999,1654.180038440535,3.2740987131241184e-05,0.0032740987131241184,7.4309413052952875,7.980334519090393e-06,19436,10943,53,1.43194839078431e-05,,1.0093440482861205e-05,28.436523743466523,0.5,14.218261871733262
369960846,planet,backend/data/lightcurves/planets/TIC_369960846.csv,1.6064277338391493,0.078,1.8719999999999999,1654.1028896287676,0.011937205021871677,1.1937205021871677,41.76367208223908,0.06477711913546788,19436,917,18,0.0009422273477344145,0.00028849645071127306,0.006000713443690575,28.43580171747999,0.5,14.217900858739995
379286801,planet,backend/data/lightcurves/planets/TIC_379286801.csv,4.45367054844753,0.054,1.296,3101.0385168466996,0.0062116911861875845,0.6211691186187585,52.15102823735004,0.002777002506381047,14708,154,5,0.0006386375455382787,-0.0003090842953802353,0.00247499527909123,24.649164245600332,0.5,12.324582122800166
380783252,planet,backend/data/lightcurves/planets/TIC_380783252.csv,9.447737421368968,0.054,1.296,1660.541607301379,0.017616207769536096,1.7616207769536096,89.0235343644455,0.016245918587451693,19435,117,3,0.00010060907114317619,4.3695200225846165e-05,0.008740139667132274,28.43428336789475,0.5,14.217141683947375
