tic_id,label,sectors,morphology,source,flags
12672792,eclipsing_binary,"14, 15, 41, 55, 75, 81, 82",0.576,LCF,
12673900,eclipsing_binary,"14, 15, 41, 55, 75, 81, 82",0.635,LCF,
12723924,eclipsing_binary,"2, 28, 42",0.038,LCF,
12790306,eclipsing_binary,"17, 24, 57, 58, 77, 78, 84, 85",0.609,LCF,
12824209,eclipsing_binary,"18, 25, 52, 58, 59, 78, 79, 85, 86",0.527,LCF,A
12862119,eclipsing_binary,"3, 29, 70",0.254,LCF,
12915124,eclipsing_binary,"14, 15, 41, 55, 75, 81, 82",0.524,LCF,
13021029,eclipsing_binary,"5, 32",0.323,LCF,A
13037534,eclipsing_binary,"17, 18, 24, 57, 58, 77, 78, 84, 85",0.542,LCF,
13062255,eclipsing_binary,"5, 32",0.571,LCF,
13062697,eclipsing_binary,"5, 32",0.784,LCF,
13068361,eclipsing_binary,"2, 29, 69",0.808,LCF,
13070701,eclipsing_binary,"5, 32",0.900,LCF,
13092260,eclipsing_binary,"2, 29, 69",0.111,LCF,
13135572,eclipsing_binary,"5, 32",0.739,LCF,
13325340,eclipsing_binary,"5, 32",0.578,LCF,
13345143,eclipsing_binary,"5, 6, 32",0.784,LCF,
13349647,eclipsing_binary,"8, 34, 61, 88",0.376,LCF,A
13351941,eclipsing_binary,"18, 58, 85, 86",0.538,LCF,
13389059,eclipsing_binary,"17, 18, 24, 57, 58, 78, 84, 85",0.101,LCF,
13684720,eclipsing_binary,"14, 15, 41, 55, 75, 81, 82",0.196,LCF,
13840107,eclipsing_binary,"18, 58, 59, 85, 86",0.470,LCF,
13957444,eclipsing_binary,"5, 32",0.257,LCF,
13968858,eclipsing_binary,"14, 15, 41, 55, 75, 81, 82",0.625,LCF,
13974582,eclipsing_binary,"14, 15, 41, 55, 81",0.334,LCF,
13976604,eclipsing_binary,"14, 15, 41, 55, 75, 81, 82",0.890,LCF,
14040050,eclipsing_binary,"18, 58, 85, 86",0.273,LCF,A
