toi,tid,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep
"1346.01",219852882,"CP",5.5025577,3.1711008,844.7022676
"1346.02",219852882,"CP",1.7622537,0.8779711,733.5550822
"1347.01",229747848,"CP",0.8474218,0.8758764,424.3932848
"1347.02",229747848,"CP",4.8420438,2.4105648,318.6638392
"1348.01",229770036,"FP",2.1405600,2.0290000,355.8315803
"1349.01",272635712,"APC",12.7167200,2.5290000,388.1260000
"135.01",267263253,"CP",4.1269046,4.4050000,10831.0000000
"1350.01",233953967,"PC",5.5402372,7.7130000,2710.0000000
"129.01",201248411,"CP",0.9809720,0.5405036,6178.3924210
"1290.01",417676622,"KP",5.3987355,3.1270000,352.0000000
"1291.01",198186769,"PC",7.1619900,7.6680000,800.0000000
"1292.01",199688472,"FP",1.4412175,1.6660000,12927.0000000
"1293.01",202504234,"PC",1.6849938,0.9160000,990.0000000
"1294.01",219015370,"CP",3.9152737,2.5620000,3350.0000000
"1295.01",219852584,"CP",3.1968838,3.7533697,7958.9806560
"1296.01",219854185,"CP",3.9443668,4.8652146,6732.4884540
"1297.01",229536616,"FP",3.9303400,3.6670000,9724.5800000
"1298.01",237104103,"CP",4.5371361,4.0421550,4199.7558754
"1299.01",258777134,"FP",5.9294050,3.7190000,16410.0000000
"130.01",263003176,"CP",14.3392144,4.6064739,392.6346872
"1300.01",293687315,"KP",2.8716983,4.6680000,8568.0000000
"1301.01",356867115,"CP",6.0964074,2.3632965,1142.4891745
"1301.02",356867115,"PC",,8.0555709,2143.3712267
"1302.01",441797803,"PC",5.6666168,3.6040000,9780.0000000
"1303.01",185405474,"FP",1.5602900,2.7510000,1690.0000000
"1304.01",186000935,"FP",8.8735214,4.0590000,1949.0000000
"1305.01",232679662,"FP",7.8513774,6.6990000,21571.0000000
"1306.01",233735068,"FP",7.6869063,4.6520000,4500.0000000
"1307.01",236815160,"APC",2.5346120,1.9780000,5185.2815163
"1308.01",277014266,"FP",1.3797091,2.3520000,1320.0000000
"1309.01",287190564,"FP",1.4986100,2.8710000,2188.6100000
"131.01",235037761,"APC",6.2407826,1.5130000,6114.0000000
"1310.01",294179389,"FP",2.6796000,2.7710000,7590.0000000
"1311.01",378159598,"APC",6.1406417,2.3525428,9437.1831553
"1312.01",405904232,"FP",11.0765063,4.6920000,4400.0000000
"1313.01",11111899,"FP",0.6193401,1.5140000,1853.0000000
"1314.01",136848581,"FP",2.6400663,3.3680000,1328.0000000
"1315.01",137284119,"FP",2.5778717,3.4720000,1010.0000000
"1316.01",15565627,"FP",3.8050900,3.3470000,1280.0000000
"1317.01",165523947,"FP",2.9904100,3.9520000,1290.0000000
"1318.01",167092385,"PC",4.9865029,2.4410000,1341.0000000
"1319.01",167098530,"FP",0.8909670,1.7840000,1100.0000000
"132.01",89020549,"CP",2.1096805,2.1344043,1309.7297126
"1320.01",167403519,"PC",3.9729429,3.6530000,4558.0000000
"1321.01",195199644,"FP",1.1988800,1.5580000,1169.0300000
"1386.01",343019899,"CP",25.8386422,5.2090000,1806.0000000
"1387.01",343442463,"FP",0.7838100,1.4430000,426.0990000
"1388.01",346338552,"KP",4.4652986,2.5020000,14440.0000000
"1389.01",353038705,"PC",3.0626240,1.7670000,580.0000000
"139.01",62483237,"CP",11.0708575,2.1937617,1149.7328034
